Reference,Actuator Type,Bandwidth (Hz),Strain (%),Stress (MPa),Efficiency (%),Power Density (W/g)
[1],PZT,10000,0.2,110,90,0.2
,PZT,100,,,90,
,DEA,100,200,8,85,0.2
,IPMC,10,40,0.3,,0.02
,SMA,3,5,200,1.3,50
,SMA,0.5,250,2,10,0.03
,SFA,130,50,10,30,11
,SFA,100,300,,30,22
,SFA,,,,30,10
,TSA,5,50,80,76,0.5
,SCP,3,49,11,1.02,27
[2],SMA,3,10,200,3,4.3
,PZT,5000,0.2,35,50,
,PZT,5800,1.7,300,90,
,SMA,,250,2,,
,SFA,4,50,20,80,
,SFA,20,50,0.7,90,
[3],PZT,,0.1,,,
,PZT,,21,,,
[4],PZT,3000,,,,0.172
[5],DEA,,40,,,
,DEA,100,117,,90,
,DEA,,215,,,
[6],DEA,,215,7.2,70,
,DEA,,63,3,90,
,PZT,,0.2,110,90,
,PZT,,1.7,131,90,
,PZT,,0.1,4.8,,
,PZT,,0.45,40,,
,SMA,,5,200,10,
,SMA,,100,4,10,
,IPMC,,2,15,2.9,
,IPMC,,40,,,
[7],EAP,4,215,0.6,,0.03528
,EAP,10,63,0.15,,0.02037
,EAP,2,1.2,2.15,,0.00051
[9],SMA,3,8.5,700,16,
,IPMC,100,3,30,3,0.0026
,IPMC,33,8.2,4.7,,0.244
,DEA,1000,79,7.2,90,
,PZT,,0.2,110,90,
,PZT,,0.6,100,90,
,PZT,,1.7,130,90,
,SFA,,15,3.4,,10
[11],IPMC,,10,20,,
,SMA,,8,700,,
[12],SFA,,30,475,,2.25
,SFA,,20,,,
,SFA,,37,,,
,SFA,,50,,,
,SFA,,25,,,
[14],SFA,,54,,20,
,SFA,,30,,40,
[15],SMA,10,5,200,2.5,1
,PZT,,0.1,35,30,1
,PZT,,0.1,3,1,0.01
[17],DEA,4,215,0.6,,0.03528
,DEA,10,63,0.15,,0.02037
[19],DEA,50000,120,0.3,80,0.5
,DEA,50000,380,1.6,90,0.4
,IPMC,,0.5,3,1.5,0.00256
,SMA,,5,200,5,1
,SMA,,6,1,,
[20],SFA,,,,25,
,SFA,,,,5,
[21],EAP,,20,,,
,DEA,,7.5,,,
,DEA,,50,,,
[22],EAP,100000,2.5,,,
,DEA,,20,,,
,EAP,,4,,,
[23],SFA,2.5,25,,,
,SMA,2.5,6,,,
,IPMC,1,5,,,
,DEA,50,500,,,
[27],EAP,,300,20,,
,EAP,,300,20,,
,SMA,,8,200,,
[29],DEA,,30,,,
,DEA,,16,,,
,DEA,20,69,,,0.3
,DEA,55,2.5,,,0.025
[31],SMA,100,,,1.3,
,SMA,100,,,0.23,
,SMA,100,,,0.013,
,SMA,1,5,,,
,SMA,0.0333,3.2,,,
[32],SMA,1,8,,,
,SMA,,200,,,
[36],TSA,,20,,,
,TSA,3.4,20,,,
[37],TSA,,20,19,,
,TSA,,,1.7,,
,TSA,1,,22.5,,
[38],SCP,,8,,,0.062
,SCP,,10,,0.71,0.062
,SCP,,35,,1.2,5.3
,SMA,,4,,0.175,1
[40],DEA,10,25,0.25,,20000
,EAP,,,,1.4,
[42],IPMC,0.2,0.5,,,
,IPMC,0.2,2.1,,,
[47],TSA,,72,,,
,TSA,,80,,,
,TSA,,81,,,
,TSA,,78,,,
[49],SCP,,20,,,
,SCP,,50,,,
,SMA,,5,,,
[258],DEA,,300,8,75,
[256],SMA,,4,500,,
[254],TSA,,11,,,
[237],SMA,,300,5.5,,
,SMA,,8,1000,,
[235],SMA,,8,,,
[225],EAP,4.5,10,1.5,,
[221],PZT,,0.02,100,,
[209],DEA,,25,1,75,0.1
,IPMC,,0.5,3,2.25,0.004
,PZT,,0.1,4.8,75,0.0013
,SMA,,100,4,10,0.2
,PZT,,0.2,110,90,0.013
,PZT,,1.7,131,90,0.13
,SMA,,5,200,10,15
[207],SFA,,50,20,,0.6
,SFA,,50,0.7,90,0.2
,PZT,,1,35,,0.0001
,SMA,,4.5,200,5,100
,DEA,,200,,52.5,
,SMA,,10,9,,
[189],SCP,,49,,,
[188],SCP,,49,,,5.3
[186],SCP,,35,,,5.3
[185],SCP,2.2,20,20,,
[183],SCP,,49,,,5.3
[182],SCP,,16.5,45,,1.6
[180],SCP,,5.6,5.7,,
[176],SCP,,33,,,
[171],SFA,,20,0.35,,
[170],SFA,,24,,,
[169],SFA,1,300,,,
[154],SMA,,,200,,
,SCP,,4.5,140,,
,EAP,,,,30,
,SFA,,90,0.6,,2
[137],SMA,,2,200,,
[135],SMA,,8,,,
[129],SMA,,5,500,,
[125],SMA,,5.25,,,
[123],SMA,,1,,,
,SMA,,6,,,
,SMA,,250,,,
[121],SMA,,5.5,100,,
,SMA,,4.75,,,
[117],SMA,,10,500,,
[114],SMA,,7,,,
[108],IPMC,100,10,,,
[105],IPMC,,13,,,
[94],DEA,,30,,,
[89],DEA,,3,,,
[85],DEA,,100,,,
[84],DEA,,75,,,
[77],PZT,,0.26,115,,
https://apps.dtic.mil/dtic/tr/fulltext/u2/a418610.pdf,DEA,1400,100,0.6,10,0.75
,DEA,7,200,2.4,60,3.4
,IPMC,,3.3,0.93,3,0.000000823
,SMA,,5,200,3,1
,SMA,100,10,9,,
,EAP,100000,5,45,45,
,EAP,,2,34,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=228297,SMA,,3,200,3,50
,PZT,,0.09,35,35,1
,PZT,,0.1,3,1,0.1
,EAP,,40,0.3,30,0.005
,EAP,,2,180,30,1
https://groups.csail.mit.edu/drl/journal_club/papers/Hollerbach_Hunter_Ballantyne__1992__A_Comparative_Analysis_of_Actuator_Technologies_for_Robotics.pdf,SMA,,0.1,200,3,50
,EAP,,5,0.3,5.7,0.216
,EAP,,10,0.3,5.7,0.00575
,PZT,,0.001,35,,
https://ascelibrary.org/doi/pdf/10.1061/40476%28299%2924,EAP,,25,200,,0.15
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/3987/0000/Ultrahigh-strain-response-of-field-actuated-elastomeric-polymers/10.1117/12.387763.full?SSO=1,EAP,2000,117,3,80,
,EAP,200,215,7.2,80,
,EAP,,4,15,,
,PZT,,0.2,110,90,
,PZT,,1.7,131,90,
,PZT,,0.1,4.8,,
,SMA,,100,200,10,
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/4695/0000/Dielectric-elastomer-artificial-muscle-actuators-toward-biomimetic-motion/10.1117/12.475157.full,DEA,10,5,0.6,,0.2
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/4695/0000/Mechanical-properties-of-dielectric-elastomer-actuators-with-smart-metallic-compliant/10.1117/12.475160.full,DEA,30,20,0.8,,
https://onlinelibrary.wiley.com/doi/epdf/10.1002/1521-4095%28200008%2912%3A16%3C1223%3A%3AAID-ADMA1223%3E3.0.CO%3B2-2,DEA,,200,7,80,
,DEA,,63,3,90,
https://www.spiedigitallibrary.org/ebooks/PM/Electroactive-Polymer-EAP-Actuators-as-Artificial-Muscles--Reality-Potential/4/Electric-EAP/10.1117/3.547465.ch4,EAP,,280,0.4,,
,EAP,,100,0.8,,
,EAP,,540.75,2.4,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=481753,EAP,,,,49,
https://science.sciencemag.org/content/287/5454/836,DEA,,32,1,80,
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/3669/0000/Electroactive-polymer-actuators-and-devices/10.1117/12.349666.full,EAP,,1000,2,,
,EAP,,10,1,,
,EAP,,10,450,,
,EAP,,30,2,,
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/3987/0000/Artificial-muscles-versus-natural-actuators-from-frogs-to-flies/10.1117/12.387761.full,EAP,10,2.5,,,0.01
https://pdfs.semanticscholar.org/3f83/7a8d6e175980e7909dff3dc3c9cfdf72c27a.pdf,IPMC,,10,20,,
,SMA,,8,700,,
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/5051/0000/Biologically-inspired-intelligent-robots/10.1117/12.484379.full?SSO=1,EAP,,300,,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4153236,SMA,,,,10,
https://www.sciencedirect.com/science/article/pii/S0924424706005048,SMA,,5,,,
https://www.tandfonline.com/doi/abs/10.1163/156855389X00019#aHR0cHM6Ly93d3cudGFuZGZvbmxpbmUuY29tL2RvaS9wZGYvMTAuMTE2My8xNTY4NTUzODlYMDAwMTk/bmVlZEFjY2Vzcz10cnVlQEBAMA==,SMA,,6,,5.7,0.0438
https://iopscience.iop.org/article/10.1088/0964-1726/22/2/025001/pdf,SMA,,,55,,
https://reader.elsevier.com/reader/sd/pii/S0261306901000395?token=CE31AC3DD88A3DE43FACE9D7E738D615D3C9AD47BF046B46355F6717B003497372800FFF43F252A5F8B414EA89FC713B,SMA,,3,100,,
,SMA,,,40,,
,SMA,,,70,,
https://www.semanticscholar.org/paper/Shape-memory-alloy-servo-actuator-system-with-and-Ikuta-Tsukamoto/d4068539a7dc96ee42a7c798fc2a1f8cc8744cad,SMA,,6,,,
https://iopscience.iop.org/article/10.1088/0964-1726/16/1/S10/meta,SMA,0.1,2.4,70,,
,SMA,0.5,,150,,
,SMA,1,,68,,
,SMA,,1.8,110,,
https://journals.sagepub.com/doi/pdf/10.1177/027836498600400404,SMA,,6,,,
https://journals.sagepub.com/doi/10.1177/027836499101000102,SMA,,6,,,
https://journals.sagepub.com/doi/10.1177/1045389X11431741,SMA,,4.75,,,
https://link.springer.com/article/10.1007/s40830-015-0038-8,SMA,,8,,,
https://www.sciencedirect.com/science/article/pii/S0261306912004542,SMA,,3.4,200,,
https://iopscience.iop.org/article/10.1088/0964-1726/12/5/007,SMA,,8,,,
https://link.springer.com/article/10.1140/epjst/e2008-00679-9,SMA,,4,170,,
,SMA,,1,300,,
https://link.springer.com/article/10.1007/s00466-015-1180-z,SMA,3,,,15,
https://www.sciencedirect.com/science/article/pii/S0957415898000233,SMA,,,,0.4,1.1
https://www.nitinol.com/wp-content/uploads/2012/01/038.pdf,SMA,,8,,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1570302,SMA,1.5,5,,,
https://link.springer.com/article/10.1007/s11340-016-0172-z,SMA,,4,,,
https://www.semanticscholar.org/paper/An-Automotive-SMA-Mirror-Actuator%3A-Modeling%2C-and-Williams-Elahinia/2de65aebd03a91188cffca999f86def3c5b0870a,SMA,,4,,,
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/5385/0000/New-horizons-for-orthotic-and-prosthetic-technology--artificial-muscle/10.1117/12.544510.full?SSO=1,EAP,,25,1,75,0.1
,EAP,,3.5,20,75,0.17
,EAP,,2,5,5,0.1
,IPMC,,0.5,3,3,0.004
,EAP,,40,0.3,30,0.06
,EAP,,0.1,4.8,75,0.0013
,PZT,,0.2,110,90,0.013
,PZT,,1.7,131,90,0.13
,SMA,,5,200,10,15
https://www.sciencedirect.com/science/article/pii/0379677996801585,EAP,1.2,,50,,
https://iopscience.iop.org/article/10.1088/0964-1726/20/1/012001,SMA,,4,,,
,DEA,,63,,,
,IPMC,,10,20,,
https://link.springer.com/article/10.1007/s40684-014-0020-5,SMA,,4,,,
http://appliedmechanicsreviews.asmedigitalcollection.asme.org/article.aspx?articleid=1397880,SMA,1,4,100,,
https://journals.sagepub.com/doi/10.1177/1045389X9700800404,SMA,4,,80,,
https://www.sciencedirect.com/science/article/pii/S0924424709005469,SMA,,5,,10,
https://www.sciencedirect.com/science/article/pii/S0924424705003067,SMA,0.1,,,,
,IPMC,100,,,,
,PZT,10000,,,,
https://www.sciencedirect.com/science/article/pii/S0924424708001283,SMA,,8,500,,
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/8687/868709/Electroactive-polymer-and-shape-memory-alloy-actuators-in-biomimetics-and/10.1117/12.2009951.full?SSO=1,SMA,0.21,4,200,,
,EAP,,10,34,,0.15
https://iopscience.iop.org/article/10.1088/0964-1726/20/8/083001/meta,IPMC,,3.3,15,1.5,
https://www.researchgate.net/publication/228877633_Electroactive_Polymers_as_Artificial_Muscles-Capabilities_Potentials_and_Challenges,SMA,,8,700,,
,EAP,,4,0.8,,
https://iopscience.iop.org/article/10.1088/0964-1726/7/6/001/meta,IPMC,,10,20,,
,SMA,,8,700,,
https://ieeexplore.ieee.org/document/1641973,IPMC,100,,,,
https://www.ncbi.nlm.nih.gov/pubmed/17671327,IPMC,,3,,,
,PZT,,0.3,,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7864464,SCP,,10,,0.71,1.12
,SCP,,34,,1.32,27.1
,SMA,,4,,0.2,50
https://www.semanticscholar.org/paper/High-Strain-Actuator-Materials-Based-on-Dielectric-Pelrine-Kornbluh/a03d06d12954082a33b7513250c3fa3b51845772,DEA,,200,7,85,
[64],SCP,,7.61178613,,,
,SCP,,8.132312919,,,
,SCP,,8.483274163,,,
,SCP,,9.052874185,,,
,SCP,,9.303498194,,,
,SCP,,9.611082206,,,
,SCP,,9.838922215,,,
,SCP,,10.15960703,,,
,SCP,,10.74914305,,,
,SCP,,11.00453099,,,
,SCP,,11.29140227,,,
,SCP,,11.84619269,,,
,SCP,,11.9635303,,,
,SCP,,12.43060231,,,
,SCP,,12.56161032,,,
,SCP,,12.99450634,,,
,SCP,,13.08421834,,,
,SCP,,13.57891596,,,
,SCP,,13.68657036,,,
,SCP,,14.13370638,,,
,SCP,,14.31028239,,,
,SCP,,14.6577384,,,
