Actuator Type,Bandwidth (Hz),Strain (%),Stress (MPa),Efficiency (%)
PZT,10^8,0.2,110,
DEA,,200,8,80%-90%
SMA,<3,5,200,1.30%
SCP,"3 in standing air, 1 in forced air, 7.5 in helium",<49,11,0.71%-1.32%
PZT,,0.1,,
PZT,,21,,
PZT,3000,,,
DEA,,40,,
DEA,100,117,,90
DEA,,215 (areal),,
DEA,,215,7.2,60-80
DEA,,63,3,90
PZT,,0.2,110,>90
PZT,,1.7,131,>90
PZT,,0.1,4.8,
PZT,,0.45,>40,
SMA,,>5,>200,<10
EAP,4,215,0.6,
EAP,10,63,0.15,
EAP,2,1.2,2.15,
SMA,<3 (<35 in bending),<8.5,<700,<16
DEA,<1000,<380 (Areal) <79 (Thickness),<7.2,<90
PZT,,0.2,110,90
PZT,,0.6,>100,90
PZT,,1.7,130,90
PZT,,15,3.4,
SMA,,<8,700,
SMA,10,>5,>200,2-3
PZT,,<0.1,35,>30
PZT,,<0.1,3,<1
DEA,4,215,0.6,
DEA,10,63,0.15,
DEA ,>50000,120,0.3 (typical) 3.2 (max),80 (max) 25 (typical)
DEA,>50000,380,1.6 (typical) 7.7 (max),90 (max) 25 (typical)
SMA,,5 (typical) 8 (max),200 (max),<5
SMA,,6 (typical) 10 (max),1 (typical) 9 (max),
DEA,,5-10,,
DEA,,50,,
EAP,100000,2-5,,
DEA,,10-2000,,
EAP,,4,,
EAP,,>300,0.1-40,
EAP,,>300,0.1-40,
SMA,,<8%,200,
EAP,,,,
EAP,,,,
DEA,,,,
DEA,,30,,
DEA,,16,,
DEA,20,69,,
DEA,10-100,2.5,,
SMA,100,,,1.30%
SMA,100,,,0.23
SMA,100,,,0.013
SMA,1,5,,
SMA,,,,
SMA,0.0333,3.2,,
SMA,>1,8%,,
SCP,,8%,,
SCP,,10%,,0.71%
SCP,,35%,,1.08% - 1.32%
SMA,,3% - 5%,,0.15% - 0.20%
SCP,,20%,,
SCP,,50%,,
SMA,,5%,,
DEA,,>300,8,60-90
SMA,,4,>500,
SMA,,<8,1000,
SMA,,8,,
DEA,,,,
EAP,2-7,>10,0.1-3,
PZT,,<0.02,>100,
DEA,,"25 typical, >300 max","1 typical, 7 max",60-90
PZT,,0.1,4.8,60-90
PZT,,0.2,110,>90
PZT,,1.7,131,>90
SMA,,>5,>200,<10
PZT,,1,35,
SMA,,1-8,200,<5
DEA,,20-380,1-10,15-90
SCP,,20-50,,
SMA,,,>200,
EAP,,,,30
SMA,,1-3,200,
SMA,,8,,
SMA,,5,500,
SMA,,2.5-8,,
SMA,,5-6,<100,
SMA,,4.5-5,,
SMA,,10,500,
DEA,,30,,
DEA,,3,,
DEA,,>100,,
DEA,,30-150,,
PZT,,0.26,115,
SMA,,36,,
PZT,,,,
DEA,1400,100,0.6,10
DEA,7,200,2.4,60
SMA,,5,200,3
SMA,100,10,9,
EAP,100000,5,45,45
EAP,,2,34,
SMA,,3,200,3
PZT,,0.09,35,35
PZT,,0.1,3,1
EAP,,40,0.3,30
EAP,,2,180,30
SMA,,0.1,200,3
EAP,,5,0.3,5.7
EAP,,10,0.3,5.7
PZT,,0.001,35,
EAP,,25,200,
EAP,2000,117,3,80
